fromid,toid,N
0,4,115
0,14,4
1,2,46
1,3,30
1,6,18
1,14,8
1,17,7
1,18,12
2,3,7
2,6,10
3,5,4
3,6,190
3,14,6
7,10,17
7,11,17
7,12,17
7,13,17
8,9,121
8,11,19
8,13,5
8,14,10
8,15,80
8,16,121
8,17,53
8,18,45
8,19,17
8,20,32
8,21,5
8,22,8
9,11,13
9,13,7
9,15,79
9,16,79
9,17,46
9,18,33
9,19,33
9,20,18
9,22,33
10,11,139
10,12,22
10,13,22
11,12,26
11,13,23
12,13,35
4,14,29
5,6,5
5,14,23
5,16,4
5,18,7
6,14,7
14,15,4
15,16,362
15,17,300
15,18,195
15,19,74
15,20,307
15,21,19
15,22,131
16,17,286
16,18,189
16,19,72
16,20,296
16,21,25
16,22,135
17,18,207
17,19,34
17,20,337
17,21,9
17,22,90
18,19,45
18,20,198
18,21,6
18,22,64
19,20,52
19,21,140
19,22,169
20,21,9
20,22,97
21,22,62
