fromid,toid,N
0,4,5
0,14,9
1,2,2
1,3,2
1,6,1
1,14,2
1,17,4
1,18,1
2,3,3
2,6,2
3,5,5
3,6,1
3,14,5
4,14,3
5,6,1
5,14,1
5,16,1
5,18,3
6,14,1
7,10,1
7,11,5
7,12,1
8,9,2
8,11,2
8,14,1
8,15,1
8,16,1
8,17,2
8,19,1
8,20,1
8,21,1
9,11,5
9,15,5
9,16,3
9,17,5
9,18,8
9,19,2
9,20,6
9,22,4
10,11,13
10,12,3
10,13,2
11,12,4
11,13,2
14,15,7
15,16,3
15,17,5
15,18,3
15,19,2
15,20,5
15,21,4
15,22,4
16,17,3
16,18,2
16,19,2
16,20,1
16,21,1
16,22,3
17,18,6
17,19,8
17,20,9
17,21,5
17,22,6
18,19,2
18,20,8
18,21,2
18,22,4
19,20,3
19,21,2
19,22,1
20,21,3
20,22,4
21,22,5
